# World_Dynamics_2nd_ed_1973 Appendix C Definition Of Terms

BR      BIRTH RATE (PEOPLE/YEAR)
NRFR    NATURAL-RESOURCE FRACTION REMAINING (DIMENSIONLESS)
NRI     NATURAL RESOURCES, INITIAL (NATURAL-RESOURCE UNITS)
NRMM    NATURAL-RESOURCE-FROM-MATERIAL MULTIPLIER (DIMENSIONLESS)
NRMMT   NATURAL-RESOURCE-FROM-MATERIAL-MULTIPLIER TABLE
NRUN    NATURAL-RESOURCE USAGE NORMAL (NATURAL RESOURCE UNITS/PERSON/YEAR)
NRUN1   NATURAL-RESOURCE USAGE NORMAL NO.1 (NATURAL RESOURCEUNITS/PERSON/YEAR)
NRUR    NATURAL-RESOURCE-USAGE RATE (NATURAL RESOURCE UNITS/YEAR)
P       POPULATION (PEOPLE)
PDN     POPULATION DENSITY NORMAL (PEOPLE/SQUARE KILOMETER)
PI      POPULATION, INITIAL (PEOPLE)
PLSWT   PLOT SWITCH TIME (YEARS)
PLTP1   PLOT PERIOD NO.1 (YEARS)
PLTP2   PLOT PERIOD NO.2 (YEARS)
PLTPER  PLOT PERIOD (YEARS)
POL     POLLUTION (POLLUTION UNITS)
POLA    POLLUTION ABSORPTION (POLLUTION UNITS/YEAR)
POLAT   POLLUTION-ABSORPTION TIME (YEARS)
POLATT  POLLUTION-ABSORPTION-TIME TABLE
POLCM   POLLUTION-FROM-CAPITAL MULTIPLIER (DIMENSIONLESS)
POLCMT  POLLUTION-FROM-CAPITAL-MULTIPLIER TABLE
POLG    POLLUTION GENERATION (POLLUTION UNITS/YEAR)
POLI    POLLUTION, INITIAL (POLLUTION UNITS)
POLN    POLLUTION NORMAL (POLLUTION UNITS/PERSON/YEAR)
POLN1   POLLUTION NORMAL NO.1 (POLLUTION UNITS/PERSON/YEAR)
POLR    POLLUTION RATIO (DIMENSIONLESS)
POLS    POLLUTION STANDARD (POLLUTION UNITS)
PRSWT   PRINT SWITCH TIME (YEARS)
PRTP1   PRINT PERIOD NO.1 (YEARS)
PRTP2   PRINT PERIOD NO.2 (YEARS)
PRTPER  PRINT PERIOD (YEARS)
QL      QUALITY OF LIFE (SATISFACTION UNITS)
QLC     QUALITY OF LIFE FROM CROWDING (DIMENSIONLESS)
QLCT    QUALITY-OF-LIFE-FROM-CROWDING TABLE
QLF     QUALITY OF LIFE FROM FOOD (DIMENSIONLESS)
QLET    OUALITY-OF-LIFE-FROM-FDOD TABLE
OLM     QUALITY OF LIFE FROM MATERIAL (DIMENSIONLESS)
OLMT    QUALITY-OF-LIFE-FROM-MATERIAL TABLE
QLP     QUALITY OF LIFE FROM POLLUTION (DIMENSIONLESS)
QLPT    QUALITY-OF-LIFE-FROM-POLLUTION TABLE
OLS     QUALITY-OF-LIFE STANDARD (SATISFACTION UNITS)
SWT1    SWITCH TIME NO.1 FOR BRN(YEARS)
SWT2    SWITCH TIME NO.2 FOR NRUN(YEARS)
SWT3    SWITCH TIME NO.3 FOR DRN(YEARS)
SWT4    SWITCH TIME NO.4 FOR CIGN(YEARS
SWT5    SWITCH TIME NO.5 FOR CIDN(YEARS)
SWT6    SWITCH TIME NO.6 FOR POLN(YEARS)
SWT7    SWITCH TIME NO.7 FOR FC (YEARS)
TABHL   LOGICAL FUNCTION, TABLE LOOK UP AND INTERPOLATION
TABLE   LOGICAL FUNCTION, TABLE LOOK UP AND INTERPOLATION
TIME    CALENDAR TIME (YEARS)
